cols/부착대관리번호,cols/상태 (공통),cols/부착방식,cols/부착대방향,cols/신호등수량,cols/배면등수량,cols/신호등종류,cols/지주관리번호,cols/신호발광구분,cols/작업구분 (공통),cols/표출구분 (공통),cols/신규정규화ID,cols/부착대관리번호.1,cols/이력ID,cols/X좌표,cols/Y좌표,cols/공사형태 (공통),lng,lat,inputaddr,z,hc,cols/부착대길이,cols/고가 (공통),cols/배면등종류,cols/공사관리번호,cols/설치일,cols/제조회사,cols/교체일
03-0000023672,1,2,152,1,0,7,02-0000078926,1,4,1,,03-023672,92425,208123.32616,557188.42769,,127.09200674348031,37.614249382313176,,,,999,1,,2008-0101-490,,,
03-0000020704,1,2,225,1,0,7,02-0000067393,2,4,1,,03-020704,90667,186512.61514,547940.251,,126.847408900029,37.530861059560884,,,,999,1,,2008-0101-591,,,
03-0000020705,1,3,202,2,0,3,02-0000067393,2,4,1,,03-020705,90668,186512.61514,547940.251,,126.847408900029,37.530861059560884,,,,7,1,3,2008-0101-591,,,
03-0000003460,1,2,142,1,0,7,02-0000107789,1,4,1,,03-003460,90669,188257.6863,545649.70072,,126.86718849880786,37.51024704780413,,,,999,1,,2009-1201-004,,,
03-0000003473,1,4,64,1,0,14,02-0000026830,1,2,1,,03-003473,90670,189818.73963,544408.26764,,126.88486194447343,37.49908022370696,,,,999,1,,2000-0000-000,,,
03-0000004302,1,2,259,1,0,7,02-0000020385,2,1,2,,03-004302,91612,195242.07813,542614.5,1,126.94620506436684,37.48296210548928,,,,999,1,,2008-0101-024,,,
03-0000004350,1,2,93,1,0,7,02-0000096946,1,4,1,,03-004350,91613,190577.59401,540787.13196,,126.89349000308583,37.46646158300301,,,,999,1,,2008-0201-006,,,
03-0000048183,1,3,312,1,0,7,02-0000143263,2,4,1,,03-048183,91614,203866.21795,540746.21314,,127.04370318058245,37.46613281886042,,,,999,1,,2008-0201-007,,,
03-0000004376,1,2,252,1,0,7,02-0000022643,2,1,2,,03-004376,91615,190599.6875,542160.09375,,126.89372223151668,37.47883231375554,,,,999,1,,2003-1401-003,,,
03-0000004403,1,3,93,3,0,2,02-0000005497,1,4,1,,03-004403,91616,194989.56624,550775.31352,,126.94329445056232,37.55648991857151,,,,11,1,,2008-0101-911,,,
03-0000044458,1,3,264,1,0,10,02-0000030622,2,1,1,,03-044458,91617,196561.61133,545139.87588,,126.9611124260033,37.50572176428819,,,,999,1,,2009-0101-032,,,
03-0000004442,1,2,165,1,0,7,02-0000024806,2,1,2,,03-004442,91618,198642.92188,544401,,126.98465304533399,37.49906985413051,,,,999,1,,2004-0101-096,,,
03-0000004456,1,2,292,1,0,7,02-0000026298,1,4,1,,03-004456,91619,187687.12411,545737.13053,,126.86073370561027,37.51102735981689,,,,999,1,,2000-0000-000,,,
03-0000004469,1,2,174,1,0,12,02-0000024329,1,2,1,,03-004469,91620,195169.64396,546391.77187,,126.94536130262019,37.51699516532182,,,,999,1,,2000-0000-000,,,
03-0000004482,1,2,175,3,0,2,02-0000022636,2,1,1,,03-004482,91621,191056.48154,541839.88301,,126.89889051932515,37.47595172117641,,,,11,1,,2005-1101-118,,,
03-0000004509,1,2,272,1,0,7,02-0000023267,1,4,1,,03-004509,91622,192904.09724,538966.66695,,126.91980606796064,37.45007975913953,,,,999,1,,2007-0501-666,,,
03-0000004520,1,2,196,1,0,7,02-0000023666,1,2,1,,03-004520,91623,190685.36854,539638.82357,,126.8947227809269,37.45611629541115,,,,999,1,,2008-1101-790,,,
03-0000004534,1,2,0,1,0,7,02-0000023412,1,4,1,,03-004534,91624,191460.32819,541848.68068,,126.90345603333134,37.47603480755537,,,,999,1,,2012-0101-093,,,
03-0000047128,1,3,84,1,0,6,02-0000137833,2,4,1,,03-047128,91625,191446.3492,542869.09219,,126.90328614720295,37.485228665622486,,,,1,1,6,2005-1101-118,,,
03-0000004560,1,2,71,1,0,10,02-0000023880,2,1,1,,03-004560,91626,191470.84083,547605.46838,,126.90350815570342,37.527903823387476,,,,999,1,,2008-0101-025,,,
03-0000047129,1,2,147,1,0,7,02-0000137836,2,1,2,,03-047129,91627,191265.33855,542598.8125,,126.90124271614681,37.48279173302285,,,,0,1,,2005-1101-118,,,
03-0000004587,1,2,307,1,0,7,02-0000024168,1,4,1,,03-004587,91628,193341.41359,547693.46233,,126.92466945060004,37.528712043645214,,,,999,1,,2000-0000-000,,,
03-0000004600,1,2,135,1,0,7,02-0000016102,1,4,1,,03-004600,91629,209218.60331,545489.25734,,127.104265099916,37.508830093234806,,,,999,1,,2000-0000-000,,,
03-0000004614,1,2,111,1,0,7,02-0000016113,1,4,1,,03-004614,91630,209706.64139,544709.83561,,127.10977466118231,37.501802473720765,,,,999,1,,2004-0101-094,,,
03-0000004637,1,2,269,1,0,7,02-0000015387,2,1,2,,03-004637,91631,191224.42008,539494.62763,,126.90081703686081,37.45482234357973,,,,,1,,2005-1101-118,,,
03-0000004664,1,2,309,1,0,7,02-0000025100,1,4,1,,03-004664,91632,193501.25841,546869.8602,,126.92648510279439,37.52129251523422,,,,999,1,,2009-1201-005,,,
03-0000004677,1,2,305,1,0,7,02-0000015996,2,1,1,,03-004677,91633,186456.07098,544256.90897,,126.84683701950281,37.497673293253726,,,,999,1,,2006-0201-026,,,
03-0000047130,1,2,327,1,0,7,02-0000137836,2,1,2,,03-047130,91634,191289.80208,542605.53125,,126.90151922995473,37.482852500326295,,,,0,3,,2005-1101-118,,,
03-0000018617,1,2,188,1,0,7,02-0000100939,1,4,1,,03-018617,91635,207664.84929,551731.2393,,127.08675683900697,37.565084520099326,,,,999,1,,2010-0101-089,,,
03-0000018625,1,3,106,2,0,2,02-0000087812,1,4,1,,03-018625,91636,204136.53317,561289.49802,,127.04687459236649,37.651225998392604,,,,11,1,,2009-0101-019,,,
03-0000018630,1,2,297,1,0,7,02-0000059006,1,4,1,,03-018630,91637,188018.54536,546468.32148,,126.8644703637183,37.51761976072499,,,,999,1,,2008-0401-002,,,
03-0000018639,1,3,73,2,0,1,02-0000059226,1,4,1,,03-018639,91638,190147.41802,547308.49626,,126.88854005121301,37.52521492202499,,,,5,1,,2000-0000-000,,,
03-0000018647,1,3,82,2,1,3,02-0000059240,2,1,2,,03-018647,91639,190354.59503,547266.79624,,126.89088433941684,37.52484139318381,,,,6,1,3,2000-0000-000,,,
03-0000018665,1,2,197,1,0,7,02-0000059315,1,4,1,,03-018665,91640,188489.56141,546098.61123,,126.8698040915856,37.5142946597684,,,,999,1,,2000-0000-000,,,
03-0000045084,1,3,205,1,0,7,02-0000133167,2,1,2,,03-045084,91641,204914.58291,543482.89918,,127.05557200175028,37.49078562929159,,,,999,1,,2004-1101-220,,,
03-0000045095,1,3,40,4,2,1,02-0000133187,1,4,1,,03-045095,91642,197174.53373,551805.44139,,126.9680188331195,37.56578062266598,,,,6,1,1,2008-0101-011,,,
03-0000048452,1,3,294,1,0,7,02-0000144128,2,4,1,,03-048452,91643,204032.94903,541395.50254,,127.04559143735001,37.47198227293151,,,,999,1,,2006-0101-022,,,
03-0000018675,1,2,20,1,0,10,02-0000059326,1,4,1,,03-018675,91644,188609.04609,547837.06528,,126.87112865538937,37.52995962068585,,,,999,1,,2009-1201-004,,,
03-0000018684,1,3,23,3,0,3,02-0000059349,1,4,1,,03-018684,91645,188470.54703,546053.70761,,126.86958972221642,37.51388984015689,,,,11,1,,2000-0000-000,,,
03-0000018693,1,3,261,2,0,1,02-0000059698,2,4,1,,03-018693,91646,190478.4172,547439.45494,,126.89228286457605,37.52639833495868,,,,5,1,1,2012-0101-032,,,
03-0000018701,1,2,0,1,0,7,02-0000059729,2,4,1,,03-018701,91647,190325.03524,547260.47871,,126.89055002182643,37.524784162775056,,,,999,1,,2003-1401-002,,,
03-0000018712,1,3,142,3,0,3,02-0000059887,2,1,1,,03-018712,91648,196951.69523,547439.97528,,126.96551467086444,37.52644711042804,,,,11,1,2,2004-1101-150,,,
03-0000018722,1,2,55,1,0,7,02-0000059946,2,1,2,,03-018722,91649,188968.90995,545989.71153,,126.87522768006369,37.513319323405575,,,,999,1,,2004-0101-035,,,
03-0000025112,1,2,190,1,0,7,02-0000102977,1,4,1,,03-025112,88065,205364.82934,561617.48873,,127.06079586874574,37.654174784767854,,,,999,1,,2007-0201-457,,,
03-0000025123,1,3,195,3,1,2,02-0000084973,1,4,1,,03-025123,88066,206518.79536,558223.47799,,127.07384268029242,37.623587822451555,,,,11,1,2,2007-0201-457,,,
03-0000025136,1,2,180,1,0,10,02-0000116283,1,2,1,,03-025136,88067,206716.99738,561658.40628,,127.07611941113088,37.65453455217603,,,,999,1,1,2000-0000-000,,,
03-0000025147,1,2,173,1,0,7,02-0000085013,1,4,1,,03-025147,88068,206535.21431,561552.08058,,127.07405843069058,37.65357788825129,,,,999,1,,2008-0101-017,,,
03-0000045832,1,2,265,1,0,7,02-0000134896,2,1,2,,03-045832,88069,202688.95313,552229.46875,,127.0304375431968,37.5696014991672,,,,,1,,2000-0000-000,,,
03-0000025231,1,3,269,3,1,2,02-0000085999,1,4,1,,03-025231,88071,206871.45584,561235.25564,,127.07786580706905,37.65072089889805,,,,7,1,2,2009-0201-003,,,
